<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiU9,D,20190614,65450,65482,65054,65200,124389,651470
SiU9,D,20190617,65200,65256,64974,65098,178800,792290
SiU9,D,20190618,65090,65241,64739,64858,323882,989528
SiU9,D,20190619,64851,64931,64634,64660,503221,1223034
SiU9,D,20190620,64660,64710,63736,63800,1614533,1852622
SiU9,D,20190621,63798,64590,63676,64112,1640227,1945296
SiU9,D,20190624,64080,64130,63539,63565,1199584,2007946
SiU9,D,20190625,63544,63699,63263,63621,1234288,2109042
SiU9,D,20190626,63626,64020,63526,63848,1485067,2200594
SiU9,D,20190627,63820,63977,63684,63862,1063189,2123634
SiU9,D,20190628,63850,63932,63566,63839,1253884,2058082
SiU9,D,20190701,63839,64161,63480,63622,1719165,2286954
SiU9,D,20190702,63642,64106,63642,64039,1447596,2386706
SiU9,D,20190703,64008,64358,63905,64168,1346541,2398690
SiU9,D,20190704,64179,64199,63954,64110,845870,2354970
SiU9,D,20190705,64108,64499,64051,64475,1583227,2538476
SiU9,D,20190708,64481,64631,64140,64144,1187272,2414090
SiU9,D,20190709,64146,64530,64102,64381,1106795,2446046
SiU9,D,20190710,64365,64572,63739,63763,1832123,2347538
SiU9,D,20190711,63765,63832,63433,63453,1102169,2302450
SiU9,D,20190712,63448,63767,63351,63616,1127380,2334346
SiU9,D,20190715,63600,63612,63103,63165,1199458,2268586
SiU9,D,20190716,63190,63443,63182,63359,1102139,2281388
SiU9,D,20190717,63380,63649,63276,63334,1285080,2293962
SiU9,D,20190718,63330,63690,63207,63646,1420596,2585766
SiU9,D,20190719,63621,63621,63280,63511,1269686,2479434
SiU9,D,20190722,63525,63580,63410,63539,867439,2455810
SiU9,D,20190723,63561,63845,63558,63746,1189427,2721366
SiU9,D,20190724,63750,63802,63463,63576,1268709,2602818
SiU9,D,20190725,63600,63798,63281,63657,1812380,2526296
SiU9,D,20190726,63660,63965,63511,63888,1309489,2695304
SiU9,D,20190729,63895,64084,63794,63938,783614,2648552
